Date,Price
2019-05-03,1280.3
2019-05-02,1271.85
2019-05-01,1278.35
2019-04-30,1284.95
2019-04-29,1282.25
2019-04-28,1287.95
2019-04-26,1288.3
2019-04-25,1275.8
2019-04-24,1275.5
2019-04-23,1269.3
2019-04-22,1276.55
2019-04-21,1278.85
2019-04-19,1277.9
2019-04-18,1271.9
2019-04-17,1272.2
2019-04-16,1272.6
2019-04-15,1286.8
2019-04-12,1290.6
2019-04-11,1288.6
2019-04-10,1309.1
2019-04-09,1303.5
2019-04-08,1297.1
2019-04-05,1290.4
2019-04-04,1289.0
